1,  관광펜션업, 2005-08-29,휴업, 휴업, 강원도 고성군 토성면 용촌리 601-1, , 
2,  관광펜션업, 2007-01-09,휴업, 휴업, 강원도 고성군 토성면 용촌리 601-4, 24766, 
3,  관광펜션업, 2008-11-19,휴업, 휴업, 강원도 고성군 토성면 인흥리 632-1, 24766, 721.35
4,  관광펜션업, 2015-02-11,휴업, 휴업, 강원도 고성군 죽왕면 문암진리 81-25번지, 24752, 
5,  관광펜션업, 2009-07-07,휴업, 휴업, 충청북도 제천시 청풍면 교리 227-6번지, 390-832, 147.24
6,  관광펜션업, 2014-11-19,폐업, 폐업, 경상북도 경주시 하동, 38126, 125.86
7,  관광펜션업, 2014-11-19,폐업, 폐업, 경상북도 경주시 시래동, 38200, 217.44
8,  관광펜션업, 2017-09-05,폐업, 폐업, 경상북도 경주시 하동 656-39번지, 38126, 
9,  관광펜션업, 2017-09-05,폐업, 폐업, 경상북도 경주시 하동 656-9번지, 38126, 
10, 관광펜션업, 2015-07-01,폐업, 폐업, 충청남도 보령시 신흑동 2303-6, 33488, 379.17
11, 관광펜션업, 2016-06-29,폐업, 폐업, 충청남도 보령시 신흑동 2228-1번지, 33488, 
12, 관광펜션업, 2017-08-07,폐업, 폐업, 충청남도 보령시 신흑동 2305-2번지, 33488, 133.2
13, 관광펜션업, 2012-11-01,폐업, 폐업, 충청남도 예산군 덕산면 사동리 108-2번지, , 
14, 관광펜션업, 2007-10-11,폐업, 폐업, 충청남도 태안군 고남면 고남리 486-4번지, , 640.19
15, 관광펜션업, 2007-02-27,폐업, 폐업, 충청남도 태안군 남면 양잠리 1232-33번지, , 
16, 관광펜션업, 2011-08-12,폐업, 폐업, 충청남도 홍성군 서부면 남당리 384-3번지, 32206, 247.92
17, 관광펜션업, 2008-12-23,폐업, 폐업, 충청남도 태안군 원북면 청산리 87-54, 32111, 709.78
18, 관광펜션업, 2008-09-17,폐업, 폐업, 충청남도 태안군 남면 몽산리 680-2, 32152, 569.82
19, 관광펜션업, 2009-01-16,폐업, 폐업, 충청남도 태안군 남면 신온리 833-109번지, 32158, 
20, 관광펜션업, 2009-05-14,폐업, 폐업, 충청남도 태안군 남면 원청리 558-4번지, 32157, 394.08
21, 관광펜션업, 2009-01-16,폐업, 폐업, 충청남도 태안군 남면 신온리 833-170번지, 32158, 755.82
22, 관광펜션업, 2010-06-08,폐업, 폐업, 충청남도 태안군 남면 양잠리 1230-33번지, , 360.09
23, 관광펜션업, 2007-02-27,폐업, 폐업, 충청남도 태안군 남면 양잠리 1232-7번지, 357-952, 
24, 관광펜션업, 2017-08-28,폐업, 폐업, 충청남도 태안군 남면 양잠리 1230-28번지, 32155, 884.88
25, 관광펜션업, 2018-05-27,폐업, 폐업, 충청남도 태안군 고남면 고남리 829번지, 32172, 281.62
26, 관광펜션업, 2012-06-12,폐업, 폐업, 충청남도 태안군 남면 달산리 319-23번지 숙박시설, 32154, 
27, 관광펜션업, 2010-09-01,폐업, 폐업, 충청남도 태안군 남면 양잠리 1230-14번지, , 790.78
28, 관광펜션업, 2010-10-15,폐업, 폐업, 충청남도 태안군 남면 신온리 323-9번지, , 149.04
29, 관광펜션업, 2011-09-07,폐업, 폐업, 충청남도 태안군 남면 원청리 512-135, 32157, 813.39
30, 관광펜션업, 2018-12-27,폐업, 폐업, 인천광역시 강화군 하점면 장정리 479-1번지, 23014, 
31, 관광펜션업, 2019-01-25,폐업, 폐업, 경상남도 거제시 동부면 학동리 123-5번지, 53332, 224.01
32, 관광펜션업, 2004-10-27,폐업, 폐업, 경상북도 경주시 감포읍 감포리 549-1번지 2리, 38125, 370.86
33, 관광펜션업, 2010-12-09,폐업, 폐업, 경상북도 경주시 보문동 531-3번지, 38175, 
34, 관광펜션업, 2010-12-28,폐업, 폐업, 경상북도 경주시 하동 254-2번지, 38126, 144.22
35, 관광펜션업, 2011-01-18,폐업, 폐업, 경상북도 경주시 내남면 안심리 416번지, , 
36, 관광펜션업, 2011-03-08,폐업, 폐업, 경상북도 경주시 구정동 17번지, 38128, 
37, 관광펜션업, 2011-04-20,폐업, 폐업, 경상북도 경주시 외동읍 신계리 816-1번지, 38210, 
38, 관광펜션업, 2011-06-09,폐업, 폐업, 경상북도 경주시 천군동 862-14번지, , 
39, 관광펜션업, 2011-08-31,폐업, 폐업, 경상북도 경주시 양남면 신대리 461-1번지, , 
40, 관광펜션업, 2006-10-17,폐업, 폐업, 경상북도 경주시 하동 502-3번지, 38126, 
41, 관광펜션업, 2009-06-17,폐업, 폐업, 경상북도 경주시 내남면 노곡리 115-4번지, 38198, 
42, 관광펜션업, 2010-02-23,폐업, 폐업, 경상북도 경주시 하동 193번지, 38126, 
43, 관광펜션업, 2010-02-23,폐업, 폐업, 경상북도 경주시 하동 748-10번지, 38126, 
44, 관광펜션업, 2010-02-23,폐업, 폐업, 경상북도 경주시 하동 253-1번지, 38126, 
45, 관광펜션업, 2010-06-07,폐업, 폐업, 경상북도 경주시 황용동 25-1번지, 38115, 
46, 관광펜션업, 2010-06-07,폐업, 폐업, 경상북도 경주시 하동 654번지, 38126, 
47, 관광펜션업, 2010-06-07,폐업, 폐업, 경상북도 경주시 진현동 449번지, 38127, 
48, 관광펜션업, 2010-06-07,폐업, 폐업, 경상북도 경주시 하동 253번지, 38126, 
49, 관광펜션업, 2010-06-07,폐업, 폐업, 경상북도 경주시 천군동 449번지, 780-270, 
50, 관광펜션업, 2010-08-10,폐업, 폐업, 경상북도 경주시 하동 124-3번지, 38126, 
51, 관광펜션업, 2010-10-09,폐업, 폐업, 경상북도 경주시 천군동 1444-2번지, 38118, 
52, 관광펜션업, 2010-10-09,폐업, 폐업, 경상북도 경주시 천군동 1444-6번지, 38118, 
53, 관광펜션업, 2010-10-09,폐업, 폐업, 경상북도 경주시 천군동 1444-6번지, 38118, 
54, 관광펜션업, 2011-11-24,폐업, 폐업, 경상북도 경주시 구정동 292-5번지, 780-420, 
55, 관광펜션업, 2012-01-09,폐업, 폐업, 경상북도 경주시 마동 507번지, 780-410, 
56, 관광펜션업, 2010-10-29,폐업, 폐업, 경상북도 경주시 하동 115-3번지, 38126, 
57, 관광펜션업, 2010-11-08,폐업, 폐업, 경상북도 경주시 양남면 읍천리 342-4번지, , 
58, 관광펜션업, 2012-10-11,폐업, 폐업, 경상북도 경주시 마동 182-16번지, 38126, 
59, 관광펜션업, 2012-10-25,폐업, 폐업, 경상북도 경주시 하동 256-2번지, 38126, 
60, 관광펜션업, 2012-11-06,폐업, 폐업, 경상북도 경주시 양남면 수렴리 83번지, 38220, 
61, 관광펜션업, 2013-10-08,폐업, 폐업, 경상북도 경주시 하동 740-6번지, 38126, 229.82
62, 관광펜션업, 2013-11-14,폐업, 폐업, 경상북도 경주시 하동 83-13번지, 38126, 218.6
63, 관광펜션업, 2014-06-18,폐업, 폐업, 경상북도 경주시 진현동, 38127, 85.08
64, 관광펜션업, 2014-06-18,폐업, 폐업, 경상북도 경주시 하동, 780-430, 104.82
65, 관광펜션업, 2014-07-16,폐업, 폐업, 경상북도 경주시 하동, 38126, 131.75
66, 관광펜션업, 2014-03-07,폐업, 폐업, 경상북도 울릉군 울릉읍 사동리 383-18번지, 799-803, 245.79
67, 관광펜션업, 2011-06-13,폐업, 폐업, 경상북도 의성군 다인면 달제리 326-1번지, , 
68, 관광펜션업, 2014-03-21,폐업, 폐업, 경상북도 청송군 부동면 하의리 220-1번지, 37437, 228.68
69, 관광펜션업, 2014-07-21,폐업, 폐업, 인천광역시 옹진군 덕적면 서포리 310-3번지, 409-892, 303
70, 관광펜션업, 2004-04-03,폐업, 폐업, 충청남도 보령시 신흑동 946-4번지, 33490, 968.88
71, 관광펜션업, 2010-05-18,폐업, 폐업, 충청남도 보령시 신흑동 2213-13번지, 33489, 310.72
